Reference	Description	Manufacturer	MPN	RS	Value
U1	Ideal Diode Controller MSOP-8	Linear Tech	LTC4359IMS8	8516843	LTC4359
C1	1206 100V X7R 10% Capacitor	Murata	GRM31CR72A225KA73L	8202863	2u2
R1	0.5W 1206 Resistor	Panasonic	ERJP08F3601V	7219866	3k6
Q1	N-Channel 60V 100A TDSON8	Infineon	BSC028N06NS	9064296	BSC028N06NS
D1	60V TVS 400W SMA	Taiwan Semi	SMAJ60A	6873368	SMAJ60A
D2	24V TVS 400W SMA	Taiwan Semi	SMAJ24A	7485161	SMAJ24A
Q2	N-Channel 60V 100A TDSON8	Infineon	BSC028N06NS	9064296	BSC028N06NS
D3	16V 6% 0.2W Zener Diode SOD-323	ON Semi	MM3Z16VT1G	6878212	MM3Z16VT1
R3	0603 Resistor	TE	CRG0603F10R	2132008	10R
R2	0603 Resistor	TE	CRG0603F10K	2132418	10k
C2	0603 100V X7R 10% Capacitor	AVX	06031C103K4Z2A	6983210	10n
R4	0603 Resistor	TE	CRG0603F1M0	2132676	1M
P1	1x3way 2.54mm Header	Harwin	M20-9990345	6812975	CONN_01X03
